site_name,state,lat,lon,elevation_m,pct_of_median_longterm_swe,daily_swe_change_inches,HUC02,file_name,water_year,date,year,month,day
FOUR TREES,CA,39.8124,-121.3225,1569.7,72,0.2,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
FORNI RIDGE,CA,38.805,-120.213,2316.5,99,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GEM PASS,CA,37.78,-119.17,3276.6,54,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GIN FLAT,CA,37.767,-119.773,2148.8,64,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GREEK STORE,CA,39.075,-120.558,1706.9,63,0.2,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GIANELLI MEADOW,CA,38.2043,-119.8932,2560.3,59,0.2,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GOLD LAKE,CA,39.6748,-120.6172,2057.4,92,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GREEN MOUNTAIN,CA,37.555,-119.238,2407.9,45,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GRAVEYARD MEADOW,CA,37.465,-119.29,2103.1,35,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
GRIZZLY RIDGE,CA,39.917,-120.645,2103.1,104,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HAGANS MEADOW,CA,38.853,-119.94,2438.4,115,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HIGHLAND MEADOW,CA,38.4873,-119.8058,2651.8,67,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HIGHLAND LAKES,CA,41.093,-122.483,1837.9,54,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HUMBUG,CA,40.115,-121.368,1981.2,77,0.2,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HUNTINGTON LAKE (USBR),CA,37.228,-119.221,2133.6,64,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HORSE MEADOW,CA,38.158,-119.662,2560.3,59,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
HEAVENLY VALLEY,CA,38.929,-119.917,2682.2,94,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
