site_name,state,lat,lon,elevation_m,pct_of_median_longterm_swe,daily_swe_change_inches,HUC02,file_name,water_year,date,year,month,day
Kiln,CO,39.32,-106.61,2926.1,75,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lake Eldora,CO,39.94,-105.59,2956.6,71,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lake Irene,CO,40.41,-105.82,3261.4,72,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lily Pond,CO,37.38,-106.55,3352.8,114,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lizard Head Pass,CO,37.8,-107.92,3109,76,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lone Cone,CO,37.89,-108.2,2926.1,77,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Loveland Basin,CO,39.67,-105.9,3474.7,84,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lynx Pass,CO,40.08,-106.67,2706.6,85,0.2,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mancos,CO,37.43,-108.17,3048,40,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mc Clure Pass,CO,39.13,-107.29,2895.6,68,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mesa Lakes,CO,39.06,-108.06,3048,55,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Middle Creek,CO,37.62,-107.03,3429,103,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mineral Creek,CO,37.85,-107.73,3060.2,95,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Molas Lake,CO,37.75,-107.69,3200.4,78,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Nast Lake,CO,39.3,-106.61,2651.8,119,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Niwot,CO,40.04,-105.54,3020.6,61,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
North Lost Trail,CO,39.08,-107.14,2804.2,93,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Overland Res.,CO,39.09,-107.63,2999.2,59,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Park Cone,CO,38.82,-106.59,2926.1,100,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Park Reservoir,CO,39.05,-107.87,3035.8,69,0.2,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Phantom Valley,CO,40.4,-105.85,2752.3,65,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Porphyry Creek,CO,38.49,-106.34,3279.6,84,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Rabbit Ears,CO,40.37,-106.74,2865.1,53,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Red Mountain Pass,CO,37.89,-107.71,3413.8,86,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Ripple Creek,CO,40.11,-107.29,3151.6,81,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Roach,CO,40.88,-106.05,2956.6,84,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Schofield Pass,CO,39.02,-107.05,3261.4,70,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Scotch Creek,CO,37.65,-108.01,2773.7,79,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Slumgullion,CO,37.99,-107.2,3523.5,99,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
South Colony,CO,37.97,-105.54,3291.8,143,0,HUC11,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Spud Mountain,CO,37.7,-107.78,3249.2,79,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Stump Lakes,CO,37.48,-107.63,3413.8,81,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Summit Ranch,CO,39.72,-106.16,2865.1,91,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Tower,CO,40.54,-106.68,3200.4,62,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Trinchera,CO,37.35,-105.23,3310.1,133,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
University Camp,CO,40.03,-105.58,3139.4,68,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Upper Rio Grande,CO,37.72,-107.26,2865.1,114,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Upper San Juan,CO,37.49,-106.84,3109,105,0.2,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Vail Mountain,CO,39.62,-106.38,3139.4,78,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Vallecito,CO,37.49,-107.51,3316.2,100,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Whiskey Ck,CO,37.21,-105.12,3115.1,100,0,HUC11,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Willow Creek Pass,CO,40.35,-106.09,2907.8,87,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Willow Park,CO,40.43,-105.73,3261.4,78,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Wolf Creek Summit,CO,37.48,-106.8,3352.8,108,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Atlanta Summit,ID,43.76,-115.24,2310.4,81,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Banner Summit,ID,44.3,-115.23,2145.8,82,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bear Basin,ID,44.95,-116.14,1630.7,96,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bear Canyon,ID,43.74,-113.94,2407.9,65,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bear Mountain,ID,48.31,-116.07,1645.9,87,0.6,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bear Saddle,ID,44.61,-116.98,1883.7,90,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Big Creek Summit,ID,44.63,-115.8,1999.5,80,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bostetter R.S.,ID,42.16,-114.19,2286,79,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Brundage Reservoir,ID,45.04,-116.13,1905,103,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Camas Creek Divide,ID,43.27,-115.35,1740.4,104,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Chocolate Gulch,ID,43.77,-114.42,1923.3,79,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Cool Creek,ID,46.76,-115.3,1914.1,97,0.7,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Cozy Cove,ID,44.29,-115.66,1645.9,100,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Crab Creek,ID,44.44,-111.99,2103.1,68,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Crater Meadows,ID,46.56,-115.29,1816.6,100,1.1,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Deadwood Summit,ID,44.55,-115.56,2090.9,77,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Dollarhide Summit,ID,43.6,-114.67,2566.4,80,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Elk Butte,ID,46.84,-116.12,1734.3,100,1.1,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Emigrant Summit,ID,42.36,-111.56,2252.5,67,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Franklin Basin,ID,42.05,-111.6,2481.1,72,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Galena,ID,43.88,-114.67,2276.9,74,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Galena Summit,ID,43.87,-114.71,2676.1,65,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Garfield R.S.,ID,43.61,-113.93,1999.5,56,-0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Giveout,ID,42.41,-111.17,2112.3,86,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hemlock Butte,ID,46.48,-115.63,1770.9,86,1,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hilts Creek,ID,44.02,-113.47,2438.4,49,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Howell Canyon,ID,42.32,-113.62,2432.3,82,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Humboldt Gulch,ID,47.53,-115.78,1295.4,142,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hyndman,ID,43.71,-114.16,2322.6,75,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Island Park,ID,44.42,-111.39,1917.2,85,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Jackson Peak,ID,44.05,-115.44,2154.9,94,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lolo Pass,ID,46.63,-114.58,1597.2,93,0.3,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lookout,ID,47.46,-115.7,1581.9,87,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lost Lake,ID,47.08,-115.96,1862.3,95,0.7,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lost-Wood Divide,ID,43.82,-114.26,2407.9,64,-0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Magic Mountain,ID,42.18,-114.29,2097,70,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Meadow Lake,ID,44.44,-113.32,2788.9,73,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mica Creek,ID,47.15,-116.27,1374.6,102,0.8,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mill Creek Summit,ID,44.47,-114.49,2682.2,67,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Moonshine,ID,44.41,-113.4,2267.7,85,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Moose Creek,ID,45.67,-113.95,1889.8,97,0.3,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mores Creek Summit,ID,43.93,-115.67,1859.3,99,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Morgan Creek,ID,44.84,-114.27,2316.5,72,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mosquito Ridge,ID,48.06,-116.23,1603.2,91,0.8,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mountain Meadows,ID,45.7,-115.23,1926.3,86,0.5,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mud Flat,ID,42.6,-116.56,1746.5,51,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Oxford Spring,ID,42.26,-112.13,2054.4,60,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Pine Creek Pass,ID,43.57,-111.21,2048.3,109,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Prairie,ID,43.51,-115.57,1463,100,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Savage Pass,ID,46.47,-114.63,1886.7,93,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Schwartz Lake,ID,44.85,-113.84,2630.4,74,-0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Schweitzer Basin,ID,48.37,-116.64,1856.2,80,0.6,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Secesh Summit,ID,45.19,-115.97,1993.4,80,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Sedgwick Peak,ID,42.52,-111.96,2392.7,58,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Shanghi Summit,ID,46.57,-115.74,1402.1,122,0.9,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Sheep Mtn.,ID,43.21,-111.69,2026.9,101,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Sherwin,ID,46.95,-116.34,975.4,128,0.8,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Slug Creek Divide,ID,42.56,-111.3,2202.2,100,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Soldier R.S.,ID,43.48,-114.83,1749.6,98,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Somsen Ranch,ID,42.95,-111.36,2072.6,96,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
South Mtn.,ID,42.76,-116.9,1981.2,80,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Squaw Flat,ID,44.77,-116.25,1902,73,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Stickney Mill,ID,43.86,-114.21,2264.7,69,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Sunset,ID,47.56,-115.82,1688.6,85,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Swede Peak,ID,43.63,-113.97,2328.7,48,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Trinity Mtn.,ID,43.63,-115.44,2368.3,80,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Vienna Mine,ID,43.8,-114.85,2731,75,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
West Branch,ID,45.07,-116.45,1694.7,100,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
White Elephant,ID,44.53,-111.41,2350,67,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Wildhorse Divide,ID,42.76,-112.48,1978.2,63,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Wilson Creek,ID,42.01,-115,2170.2,56,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Albro Lake,MT,45.6,-111.96,2529.8,75,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Badger Pass,MT,48.13,-113.02,2103.1,134,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Banfield Mountain,MT,48.57,-115.45,1706.9,98,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Barker Lakes,MT,46.1,-113.13,2514.6,90,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Basin Creek,MT,45.8,-112.52,2188.5,62,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Beagle Springs,MT,44.47,-112.98,2697.5,60,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Beaver Creek,MT,44.95,-111.36,2392.7,55,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bisson Creek,MT,47.68,-114,1499.6,106,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Black Bear,MT,44.51,-111.13,2490.2,72,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Black Pine,MT,46.41,-113.43,2197.6,83,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bloody Dick,MT,45.17,-113.5,2316.5,76,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Boulder Mountain,MT,46.56,-111.29,2423.2,90,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Box Canyon,MT,45.27,-110.25,2033,68,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Brackett Creek,MT,45.89,-110.94,2231.1,87,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Calvert Creek,MT,45.88,-113.33,1959.9,88,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Carrot Basin,MT,44.96,-111.29,2743.2,75,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Clover Meadow,MT,45.02,-111.85,2621.3,69,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Cole Creek,MT,45.19,-109.35,2392.7,91,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Combination,MT,46.47,-113.39,1706.9,91,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Copper Bottom,MT,47.06,-112.6,1585,92,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Copper Camp,MT,47.08,-112.73,2118.4,99,0.4,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Crystal Lake,MT,46.79,-109.51,1844,90,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Daisy Peak,MT,46.67,-110.33,2316.5,96,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Daly Creek,MT,46.18,-113.85,1761.7,85,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Darkhorse Lake,MT,45.17,-113.58,2726.4,83,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Deadman Creek,MT,46.79,-110.68,1966,94,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Divide,MT,44.79,-112.06,2377.4,54,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Dupuyer Creek,MT,48.06,-112.76,1752.6,86,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Emery Creek,MT,48.43,-113.94,1325.9,111,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Fisher Creek,MT,45.06,-109.94,2773.7,109,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Flattop Mtn.,MT,48.8,-113.86,1920.2,119,0.6,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Frohner Meadow,MT,46.44,-112.19,1975.1,100,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Garver Creek,MT,48.98,-115.82,1295.4,95,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Grave Creek,MT,48.91,-114.77,1310.6,103,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hand Creek,MT,48.31,-114.84,1534.7,100,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hawkins Lake,MT,48.97,-115.95,1966,100,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hoodoo Basin,MT,46.98,-115.03,1844,93,0.3,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Kraft Creek,MT,47.43,-113.78,1447.8,94,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lakeview Ridge,MT,44.59,-111.82,2255.5,40,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lemhi Ridge,MT,44.99,-113.44,2468.9,74,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lick Creek,MT,45.5,-110.97,2090.9,63,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lone Mountain,MT,45.27,-111.43,2706.6,76,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lower Twin,MT,45.51,-111.92,2407.9,69,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lubrecht Flume,MT,46.88,-113.32,1426.5,100,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Madison Plateau,MT,44.59,-111.12,2362.2,73,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Many Glacier,MT,48.8,-113.67,1493.5,104,0,N/A,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Monument Peak,MT,45.22,-110.24,2697.5,111,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Moss Peak,MT,47.68,-113.96,2066.5,110,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mount Lockhart,MT,47.92,-112.82,1950.7,121,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Mule Creek,MT,45.41,-112.96,2529.8,94,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
N Fk Elk Creek,MT,46.87,-113.28,1905,86,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Nevada Ridge,MT,46.84,-112.51,2139.7,107,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Nez Perce Camp,MT,45.73,-114.48,1722.1,100,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Noisy Basin,MT,48.16,-113.95,1841,101,0.5,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
North Fork Jocko,MT,47.27,-113.76,1929.4,98,0.5,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Northeast Entrance,MT,45.01,-110.01,2240.3,68,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Peterson Meadows,MT,46.13,-113.31,2194.6,82,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Pickfoot Creek,MT,46.58,-111.27,2026.9,58,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Pike Creek,MT,48.3,-113.33,1807.5,17,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Placer Basin,MT,45.42,-110.09,2691.4,102,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Poorman Creek,MT,48.13,-115.62,1554.5,103,0.3,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Rocker Peak,MT,46.36,-112.26,2438.4,101,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Rocky Boy,MT,48.17,-109.65,1432.6,145,0.2,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
S Fork Shields,MT,46.09,-110.43,2468.9,38,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Saddle Mtn.,ID,45.69,-113.97,2420.1,97,0.2,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
